,Year,variable,value
362,2016,Neoplasms,45560427.0
363,2017,Neoplasms,46278910.0
364,1990,Parkinson,721389.0
365,1991,Parkinson,742686.0
366,1992,Parkinson,762865.0
367,1993,Parkinson,788225.0
368,1994,Parkinson,809325.0
369,1995,Parkinson,831683.0
370,1996,Parkinson,852586.0
371,1997,Parkinson,876152.0
372,1998,Parkinson,903542.0
373,1999,Parkinson,933195.0
374,2000,Parkinson,962956.0
375,2001,Parkinson,995912.0
376,2002,Parkinson,1034436.0
377,2003,Parkinson,1073161.0
378,2004,Parkinson,1095928.0
379,2005,Parkinson,1130518.0
380,2006,Parkinson,1157702.0
381,2007,Parkinson,1195611.0
382,2008,Parkinson,1243427.0
383,2009,Parkinson,1290044.0
384,2010,Parkinson,1337030.0
385,2011,Parkinson,1381052.0
386,2012,Parkinson,1421581.0
387,2013,Parkinson,1456172.0
388,2014,Parkinson,1501555.0
389,2015,Parkinson,1559233.0
390,2016,Parkinson,1606378.0
391,2017,Parkinson,1644755.0
392,1990,Fire_heat_&_hot_substances,681794.0
393,1991,Fire_heat_&_hot_substances,684947.0
394,1992,Fire_heat_&_hot_substances,690454.0
395,1993,Fire_heat_&_hot_substances,699795.0
396,1994,Fire_heat_&_hot_substances,704666.0
397,1995,Fire_heat_&_hot_substances,697591.0
398,1996,Fire_heat_&_hot_substances,683134.0
399,1997,Fire_heat_&_hot_substances,677104.0
400,1998,Fire_heat_&_hot_substances,664567.0
401,1999,Fire_heat_&_hot_substances,667017.0
402,2000,Fire_heat_&_hot_substances,668306.0
403,2001,Fire_heat_&_hot_substances,660655.0
404,2002,Fire_heat_&_hot_substances,653511.0
405,2003,Fire_heat_&_hot_substances,651626.0
406,2004,Fire_heat_&_hot_substances,638248.0
407,2005,Fire_heat_&_hot_substances,635907.0
408,2006,Fire_heat_&_hot_substances,619205.0
409,2007,Fire_heat_&_hot_substances,610510.0
410,2008,Fire_heat_&_hot_substances,604305.0
411,2009,Fire_heat_&_hot_substances,597612.0
412,2010,Fire_heat_&_hot_substances,593573.0
413,2011,Fire_heat_&_hot_substances,585472.0
414,2012,Fire_heat_&_hot_substances,579078.0
415,2013,Fire_heat_&_hot_substances,571690.0
416,2014,Fire_heat_&_hot_substances,565680.0
